"";"year";"kommune";"performance";"reference";"faktisk_perf";"forventet_perf";"indbyggertal";"exp";"borgmesterskift";"partiskift";"social";"newyear";"performance_sd"
"98";2016;"Solrød Kommune";0,00557956641650157;0,100000000000001;7,4;7,3;21788;60324;0;0;33;"01-01-2016";4,78611063680082
"99";2016;"Aabenraa Kommune";0,00146273493766466;0,100000000000001;6,9;6,8;58869;63663;0;0;34;"01-01-2016";1,2547231668884
"100";2017;"Bornholms Kommune";0,000805551098860882;0,100000000000001;6,9;6,8;39695;65332;0;0;20;"01-01-2017";0,690995750376255
"101";2017;"Brønderslev Kommune";0,000937679283970868;0,100000000000001;6,9;6,8;36128;60571;0;0;21;"01-01-2017";0,804334326346213
"102";2017;"Haderslev Kommune";0,00199895230369641;0,100000000000001;6,9;6,8;56045;63796;0;0;22;"01-01-2017";1,71468644138439
"103";2017;"Horsens Kommune";0,00396181984585674;0,100000000000001;6,9;6,8;89030;60441;0;0;23;"01-01-2017";3,3984196422977
"104";2017;"Ikast-Brande Kommune";0,00509763689835509;0,100000000000001;6,7;6,6;40981;66564;1;0;24;"01-01-2017";4,3727150750655
"105";2017;"Nyborg Kommune";0,00157958421379116;0,100000000000001;6,7;6,6;32142;57981;0;0;25;"01-01-2017";1,35495560819737
"106";2017;"Svendborg Kommune";0,0013494700155635;0,100000000000001;7,2;7,1;58510;68065;1;1;26;"01-01-2017";1,15756535784405
"107";2017;"Sønderborg Kommune";0;0,100000000000001;6,9;6,8;74801;65943;0;0;27;"01-01-2017";0
"108";2017;"Aalborg Kommune";0,00203684137642155;0,100000000000001;7,2;7,1;211937;66722;0;0;28;"01-01-2017";1,74718740659415
"109";2017;"Aarhus Kommune";0,000730047694753577;0,100000000000001;7,4;7,3;335684;63473;0;0;29;"01-01-2017";0,626229491040423
"110";2018;"Fredensborg Kommune";0,00358341311118629;0,100000000000001;7,7;7,6;40779;66682;0;0;27;"01-01-2018";3,0738251554417
"111";2018;"Frederikshavn Kommune";0,000900808055572571;0,100000000000001;6,7;6,6;60140;66149;0;0;28;"01-01-2018";0,772706460441241
"112";2018;"Hjørring Kommune";0,00201374024563626;0,100000000000001;6,7;6,6;65257;63961;0;0;29;"01-01-2018";1,72737142816138
"113";2018;"Randers Kommune";0,00242163125438425;0,100000000000001;6,7;6,6;98265;62758;1;1;30;"01-01-2018";2,0772573063634
"114";2018;"Ringkøbing-Skjern Kommune";0,00271625156462682;0,100000000000001;6,7;6,6;57005;62699;1;0;31;"01-01-2018";2,32998042056439
"115";2018;"Samsø Kommune";0,00154620759555779;0,100000000000001;6,4;6,3;3720;83258;0;0;32;"01-01-2018";1,32632539294002
"116";2019;"Frederikshavn Kommune";0,00111758013822127;0,100000000000001;6,7;6,6;59987;66598;0;0;21;"01-01-2019";0,958651943132874
"117";2019;"Læsø Kommune";0,00133409567371832;0,100000000000001;6,9;6,8;1806;100530;1;1;22;"01-01-2019";1,144377361583
"118";2019;"Syddjurs Kommune";0,0022349563874111;0,100000000000001;6,9;6,8;42768;68149;1;1;23;"01-01-2019";1,91712899176871
"119";2019;"Vejle Kommune";0,0024983038405415;0,100000000000001;7,2;7,1;114830;64442;0;0;24;"01-01-2019";2,14302648137904
"120";2016;"Allerød Kommune";0,0021786200905705;0,0999999999999996;8,1;8;24732;61112;1;1;35;"01-01-2016";1,86880413470646
"121";2016;"Frederikshavn Kommune";0,00306626054803731;0,0999999999999996;6,8;6,7;60246;63640;0;0;36;"01-01-2016";2,63021552727849
"122";2016;"Furesø Kommune";0,00649851477979888;0,0999999999999996;8;7,9;40156;67234;0;0;37;"01-01-2016";5,57437771849382
"123";2016;"Hørsholm Kommune";0,00174671136369357;0,0999999999999996;8,2;8,1;24965;61198;0;0;38;"01-01-2016";1,49831603625509
"124";2016;"Mariagerfjord Kommune";0,00140746256408583;0,0999999999999996;7,1;7;42131;64653;0;0;39;"01-01-2016";1,20731093529913
"125";2016;"Rebild Kommune";0,00273325938449958;0,0999999999999996;7,1;7;29149;61013;0;0;40;"01-01-2016";2,34456960214686
"126";2016;"Rødovre Kommune";0,00175598766752582;0,0999999999999996;7;6,9;38002;75164;0;0;41;"01-01-2016";1,50627318079421
"127";2016;"Svendborg Kommune";0,0018346499842592;0,0999999999999996;7,1;7;58228;66018;1;1;42;"01-01-2016";1,57374913192181
"128";2016;"Viborg Kommune";0,00125796845182753;0,0999999999999996;7,1;7;95776;56998;1;1;43;"01-01-2016";1,07907599598513
"129";2016;"Aalborg Kommune";0,00294370833992522;0,0999999999999996;7,3;7,2;210316;65850;0;0;44;"01-01-2016";2,52509115326371
"130";2016;"Aarhus Kommune";0,000715749304458982;0,0999999999999996;7,3;7,2;330639;62334;0;0;45;"01-01-2016";0,613964438029189
"131";2017;"Egedal Kommune";0,00257299223005705;0,0999999999999996;7,6;7,5;43082;66832;0;0;30;"01-01-2017";2,20709362725057
